"minority_dummy" "above_insurance" "opening_balance" "ln_maturity" "loanlink" "travel_costs" "ln_accountage" "ward" "runner" "uninsured_no_rel" "uninsured_rel" "loanlink_before" "loanlink_current" "loanlink_after" "household_key" "accountage" "days_maturity"
"190" 0 0 0.107293151319027 4.81218433380127 0 NA 7.14124488830566 NA 0 0 0 0 0 0 NA 1263 122
"191" 0 0 0.107534237205982 4.74493217468262 0 6 7.18765735626221 11 0 0 0 0 0 0 2572 1323 114
"192" 0 0 0.107624657452106 4.71849870681763 0 7 7.15383386611938 28 0 0 0 0 0 0 2750 1279 111
"193" 0 0 0.10771506279707 4.6913480758667 0 7 6.43454647064209 18 0 0 0 0 0 0 675 623 108
"194" 1 0 0.107775345444679 4.67282867431641 0 1 7.20414924621582 6 0 0 0 0 0 0 608 1345 106
"195" 0 0 0.108016446232796 4.59511995315552 0 NA 7.20414924621582 NA 0 0 0 0 0 0 NA 1345 98
"196" 0 0 0.108046568930149 4.58496761322021 0 4 7.20711898803711 5 0 0 0 0 0 0 1767 1349 97
"197" 1 0 0.108106851577759 4.5643482208252 0 3 7.15383386611938 6 0 0 0 0 0 0 NA 1279 95
"198" 1 0 0.108317814767361 4.48863649368286 0 6 7.20414924621582 7 0 0 0 0 0 0 97 1345 88
"199" 1 0 0.108378075063229 4.46590805053711 0 2 7.20414924621582 6 0 0 0 0 0 0 931 1345 86
"200" 1 0 0.108378075063229 4.46590805053711 0 1 7.15617656707764 6 0 0 0 0 0 0 13070 1282 86
"201" 0 0 0.108468495309353 4.43081665039062 0 NA 7.20414924621582 NA 0 0 0 0 0 0 NA 1345 83
"202" 1 0 0.108558900654316 4.39444923400879 0 3 7.15383386611938 6 0 0 0 0 0 0 NA 1279 80
"203" 0 0 0.10864932090044 4.35670900344849 0 7 7.1762547492981 76 0 0 0 0 0 0 2375 1308 77
"204" 1 0 0.108709596097469 4.33073329925537 0 6 7.23417711257935 40 0 0 0 0 0 0 1101 1386 75
"205" 0 0 0.10898082703352 4.20469284057617 0 NA 7.23849678039551 NA 0 0 0 0 0 0 NA 1392 66
"206" 0 0 0.10898082703352 4.20469284057617 0 7 7.23849678039551 42 0 0 0 0 0 0 2555 1392 66
"207" 0 0 0.109010964632034 4.18965482711792 0 6 6.50128984451294 37 0 0 0 0 0 0 378 666 65
"208" 1 0 0.109312325716019 4.02535152435303 0 3 7.14124488830566 6 0 0 0 0 0 0 NA 1263 55
"209" 0 0 0.109342470765114 4.00733327865601 1 6 7.23849678039551 7 0 0 0 0 1 0 486 1392 54
"210" 0 0 0.109369859099388 6.09807443618774 0 7 5.65599203109741 44 0 0 0 0 0 0 2410 286 444
"211" 0 0 0.109402731060982 3.97029185295105 0 1 7.23849678039551 6 0 0 0 0 0 0 398 1392 52
"212" 0 0 0.109447948634624 5.62762117385864 0 6 7.17548990249634 37 0 0 0 0 0 0 2987 1307 277
"213" 0 0 0.109493151307106 3.91202306747437 1 6 7.18006992340088 37 0 0 0 0 1 0 485 1313 49
"214" 0 0 0.109643831849098 3.80666255950928 0 7 5.7714409828186 28 0 0 0 0 0 0 1830 321 44
"215" 0 0 0.109673976898193 6.0137152671814 0 1 5.77455139160156 5 0 0 0 0 0 0 1525 322 408
"216" 0 0 0.109764374792576 3.71357202529907 0 1 5.78382539749146 6 0 0 0 0 0 0 83134 325 40
"217" 1 0 0.110063008964062 5.84064149856567 0 7 7.14755916595459 8 0 0 0 0 0 0 1512 1271 343
"218" 0 0 0.110156163573265 5.97380971908569 0 1 7.15383386611938 6 0 0 0 0 0 0 NA 1279 392
"219" 0 0 0.110156163573265 5.97380971908569 0 1 7.15383386611938 6 0 0 0 0 0 0 NA 1279 392
"220" 0 0 0.110156163573265 3.33220458030701 0 NA 7.14124488830566 NA 0 0 0 0 0 0 NA 1263 27
"221" 0 0 0.110276706516743 5.96357917785645 0 NA 7.23849678039551 NA 0 0 0 0 0 0 NA 1392 388
"222" 0 0 0.110276706516743 5.96357917785645 0 7 5.83481073379517 35 0 0 0 0 0 0 1096 342 388
"223" 0 0 0.110339716076851 5.8362717628479 0 3 7.14124488830566 6 0 0 0 0 0 0 NA 1263 341.5
"224" 1 0 0.110487669706345 5.94542074203491 0 7 7.23849678039551 5 0 0 0 0 0 0 540 1392 381
"225" 1 0 0.110616445541382 5.83188247680664 0 1 7.15851402282715 6 0 0 0 0 0 0 12469 1285 340
"226" 1 0 0.110717810690403 6.64509105682373 0 1 5.7899603843689 6 0 0 0 0 0 0 3364 327 768
"227" 0 0 0.110729210078716 4.09434461593628 0 7 7.08506441116333 13 0 0 0 0 0 0 1720 1194 59
"228" 1 0 0.11095204949379 5.82600021362305 0 4 6.04025459289551 39 0 0 0 0 0 0 1022 420 338
